marca_tiempo;hora_solar;ocupantes_conteo_robus3;temperatura_exterior;temperatura_interior;energia_agua_refrigerada;radiacion_global_fachada;marca_tiempo_1;marca_tiempo_2;marca_tiempo_3;marca_tiempo_4;marca_tiempo_5;marca_tiempo_6;hora_solar_1;hora_solar_2;hora_solar_3;hora_solar_4;hora_solar_5;hora_solar_6;ocupantes_conteo_robus3_1;ocupantes_conteo_robus3_2;ocupantes_conteo_robus3_3;ocupantes_conteo_robus3_4;ocupantes_conteo_robus3_5;ocupantes_conteo_robus3_6;temperatura_exterior_1;temperatura_exterior_2;temperatura_exterior_3;temperatura_exterior_4;temperatura_exterior_5;temperatura_exterior_6;temperatura_interior_1;temperatura_interior_2;temperatura_interior_3;temperatura_interior_4;temperatura_interior_5;temperatura_interior_6;energia_agua_refrigerada_1;energia_agua_refrigerada_2;energia_agua_refrigerada_3;energia_agua_refrigerada_4;energia_agua_refrigerada_5;energia_agua_refrigerada_6;radiacion_global_fachada_1;radiacion_global_fachada_2;radiacion_global_fachada_3;radiacion_global_fachada_4;radiacion_global_fachada_5;radiacion_global_fachada_6;hora
07/09/2021 1:00;2021-09-06 23:57:05.211924;0;26,30846771;25,22782421;0;0,251360635;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1
07/09/2021 2:00;2021-09-07 00:57:05.211924;0;26,59180212;25,20998621;0;0,001360659;1630969200;NA;NA;NA;NA;NA;1630965425;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;26,30846771;NA;NA;NA;NA;NA;25,22782421;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;0,251360635;NA;NA;NA;NA;NA;2
07/09/2021 3:00;2021-09-07 01:57:05.211924;0;26,57500029;25,23660278;0;0,49593548;1630972800;1630969200;NA;NA;NA;NA;1630969025;1630965425;NA;NA;NA;NA;0;0;NA;NA;NA;NA;26,59180212;26,30846771;NA;NA;NA;NA;25,20998621;25,22782421;NA;NA;NA;NA;0;0;NA;NA;NA;NA;0,001360659;0,251360635;NA;NA;NA;NA;3
07/09/2021 4:00;2021-09-07 02:57:05.211924;0;26,51666673;26,49012343;0;0,087394544;1630976400;1630972800;1630969200;NA;NA;NA;1630972625;1630969025;1630965425;NA;NA;NA;0;0;0;NA;NA;NA;26,57500029;26,59180212;26,30846771;NA;NA;NA;25,23660278;25,20998621;25,22782421;NA;NA;NA;0;0;0;NA;NA;NA;0,49593548;0,001360659;0,251360635;NA;NA;NA;4
07/09/2021 5:00;2021-09-07 03:57:05.211924;0;26,32527145;26,88459126;0;9,83E-18;1630980000;1630976400;1630972800;1630969200;NA;NA;1630976225;1630972625;1630969025;1630965425;NA;NA;0;0;0;0;NA;NA;26,51666673;26,57500029;26,59180212;26,30846771;NA;NA;26,49012343;25,23660278;25,20998621;25,22782421;NA;NA;0;0;0;0;NA;NA;0,087394544;0,49593548;0,001360659;0,251360635;NA;NA;5
07/09/2021 6:00;2021-09-07 04:57:05.211924;0;26,25000111;27,30841812;0;9,83E-18;1630983600;1630980000;1630976400;1630972800;1630969200;NA;1630979825;1630976225;1630972625;1630969025;1630965425;NA;0;0;0;0;0;NA;26,32527145;26,51666673;26,57500029;26,59180212;26,30846771;NA;26,88459126;26,49012343;25,23660278;25,20998621;25,22782421;NA;0;0;0;0;0;NA;9,83E-18;0,087394544;0,49593548;0,001360659;0,251360635;NA;6
07/09/2021 7:00;2021-09-07 05:57:05.211924;0;26,37486172;26,54501168;0;10,08347497;1630987200;1630983600;1630980000;1630976400;1630972800;1630969200;1630983425;1630979825;1630976225;1630972625;1630969025;1630965425;0;0;0;0;0;0;26,25000111;26,32527145;26,51666673;26,57500029;26,59180212;26,30846771;27,30841812;26,88459126;26,49012343;25,23660278;25,20998621;25,22782421;0;0;0;0;0;0;9,83E-18;9,83E-18;0,087394544;0,49593548;0,001360659;0,251360635;7
07/09/2021 21:00;2021-09-07 19:57:05.211924;6,5;28,92500178;26,58340089;-5,78E-18;-2,43E-15;1631037600;1631034000;1631030400;1631026800;1631023200;1631019600;1631033825;1631030225;1631026625;1631023025;1631019425;1631015825;6,416666667;5,083333333;8,444444444;11,19444444;10,66666667;11,02777778;28,9082489;29,23333502;30,00833194;30,75826216;31,46653477;30,04151058;26,70649513;26,81716204;26,96308597;27,25461467;27,26990255;27,32201656;-5,78E-18;0,02837652;0,463778332;0,533448434;0,416009484;0,533777554;-2,43E-15;7,333275099;46,88779907;124,6975187;152,7889098;142,7039128;21
07/09/2021 22:00;2021-09-07 20:57:05.211924;5;28,57472515;26,56131633;-5,78E-18;-2,43E-15;1631041200;1631037600;1631034000;1631030400;1631026800;1631023200;1631037425;1631033825;1631030225;1631026625;1631023025;1631019425;6,5;6,416666667;5,083333333;8,444444444;11,19444444;10,66666667;28,92500178;28,9082489;29,23333502;30,00833194;30,75826216;31,46653477;26,58340089;26,70649513;26,81716204;26,96308597;27,25461467;27,26990255;-5,78E-18;-5,78E-18;0,02837652;0,463778332;0,533448434;0,416009484;-2,43E-15;-2,43E-15;7,333275099;46,88779907;124,6975187;152,7889098;22
07/09/2021 23:00;2021-09-07 21:57:05.211924;4,833333333;28,36666616;26,59271717;-5,78E-18;-2,43E-15;1631044800;1631041200;1631037600;1631034000;1631030400;1631026800;1631041025;1631037425;1631033825;1631030225;1631026625;1631023025;5;6,5;6,416666667;5,083333333;8,444444444;11,19444444;28,57472515;28,92500178;28,9082489;29,23333502;30,00833194;30,75826216;26,56131633;26,58340089;26,70649513;26,81716204;26,96308597;27,25461467;-5,78E-18;-5,78E-18;-5,78E-18;0,02837652;0,463778332;0,533448434;-2,43E-15;-2,43E-15;-2,43E-15;7,333275099;46,88779907;124,6975187;23
