"";"Iteración 1";"Iteración 2";"Iteración 3";"Iteración 4";"Iteración 5";"Iteración 6"
"(Intercept)";0;0;0;0;0;0
"temperatura_exterior";0,986908560886953;0,0186867262998958;0,014687563995285;0,0132871756803192;0,0124923057472134;0,0117218140125091
"radiacion_global_fachada";-0,0107914522728938;0,000588438339104816;0,000393051762558993;0,00066810867672384;0,000700491931129867;0,000695330542193137
"energia_agua_refrigerada";0,219637958157473;NA;NA;NA;NA;NA
"ocupantes_conteo_robus3";-0,0189432377560376;NA;NA;NA;NA;NA
"temperatura_interior_1";NA;0,984677652242061;1,14521870992844;1,1693707911961;1,15304667837567;1,14470540736136
"temperatura_exterior_1";NA;-0,00491804634214256;NA;NA;NA;NA
"radiacion_global_fachada_1";NA;-0,000594790595160055;-0,000316336431027811;-0,000633314879481938;-0,000605190786299466;-0,000572853599833862
"energia_agua_refrigerada_1";NA;NA;NA;NA;NA;NA
"ocupantes_conteo_robus3_1";NA;NA;NA;NA;NA;NA
"temperatura_interior_2";NA;NA;-0,160805844677466;-0,373976583825821;-0,344026492673221;-0,342787226536197
"temperatura_exterior_2";NA;NA;NA;NA;NA;NA
"radiacion_global_fachada_2";NA;NA;-0,000219875155975545;NA;NA;NA
"energia_agua_refrigerada_2";NA;NA;NA;NA;NA;NA
"ocupantes_conteo_robus3_2";NA;NA;NA;NA;NA;NA
"temperatura_interior_3";NA;NA;NA;0,189699591177911;0,0869273201596986;0,104578461312435
"temperatura_exterior_3";NA;NA;NA;NA;NA;NA
"radiacion_global_fachada_3";NA;NA;NA;NA;NA;NA
"energia_agua_refrigerada_3";NA;NA;NA;NA;NA;NA
"ocupantes_conteo_robus3_3";NA;NA;NA;NA;NA;NA
"temperatura_interior_4";NA;NA;NA;NA;0,0897204090046761;0,0117986369495796
"temperatura_exterior_4";NA;NA;NA;NA;NA;NA
"radiacion_global_fachada_4";NA;NA;NA;NA;NA;NA
"energia_agua_refrigerada_4";NA;NA;NA;NA;NA;NA
"ocupantes_conteo_robus3_4";NA;NA;NA;NA;NA;NA
"temperatura_interior_5";NA;NA;NA;NA;NA;0,0680990833823278
"temperatura_exterior_5";NA;NA;NA;NA;NA;NA
"radiacion_global_fachada_5";NA;NA;NA;NA;NA;NA
"energia_agua_refrigerada_5";NA;NA;NA;NA;NA;NA
"ocupantes_conteo_robus3_5";NA;NA;NA;NA;NA;NA
"temperatura_interior_6";NA;NA;NA;NA;NA;NA
"temperatura_exterior_6";NA;NA;NA;NA;NA;NA
"radiacion_global_fachada_6";NA;NA;NA;NA;NA;NA
"energia_agua_refrigerada_6";NA;NA;NA;NA;NA;NA
"ocupantes_conteo_robus3_6";NA;NA;NA;NA;NA;NA
"R2";0,996618773196179;0,999965967598489;0,999967048574464;0,999968247347469;0,999968549389184;0,99996873834112
"MAE";1,29931296672257;0,207679248604734;0,273506160468074;0,314041320606632;0,344537309398395;0,365377817034887
"Media residuales";0,0921007715563342;0,000582834153540149;0,000625513177278573;0,000566626658017089;0,000545884333669077;0,000535953234572687
"Desviación típica residuales";1,59841869237235;0,160626707571431;0,15805492035259;0,155153446620326;0,1544138128846;0,153949292309677
"Número de variables";4;5;6;6;7;8
