"";"Iteración 1";"Iteración 2";"Iteración 3";"Iteración 4";"Iteración 5";"Iteración 6";"Iteración 7"
"(Intercept)";0;0;0;0;0;0;0
"ocupantes_conteo_robus3";-0,109701007704267;0,00107080455599437;-0,0095817789346647;-0,00228966616779053;-0,00480283773759567;-0,000585947299096152;-0,00686192925078157
"temperatura_exterior";1,01890468334386;0,613004766182616;0,000639469704246362;-0,00365705095795707;-0,0102943775863765;-0,020365271813873;-0,0189204186434345
"energia_agua_refrigerada";-0,190441999431628;0,0346305377571509;-0,0533951144531208;-0,0666765205949435;-0,0587982031013922;-0,0498858576754335;-0,0186311376112255
"radiacion_global_fachada";-0,0117794094938129;-0,00100070480520842;0,000683756775053239;0,000509316397296089;0,00018788412290623;0,000145315317059291;1,21582952105092e-06
"temperatura_interior_1";NA;NA;NA;NA;NA;NA;NA
"ocupantes_conteo_robus3_1";NA;-0,0798541098010431;0,0142427999664979;-0,00145539979421232;0,00717539641608589;0,0022634052745714;0,0156039949957731
"temperatura_exterior_1";NA;0,404994564977747;0,0177210015669091;0,0142000210014819;0,013405333764113;0,0185537662385808;0,00295255832766966
"energia_agua_refrigerada_1";NA;NA;NA;NA;NA;NA;NA
"radiacion_global_fachada_1";NA;-0,0128121348662077;-0,000336750505032465;-0,000394015035484518;-8,82816497705058e-05;-4,72694426840346e-05;-9,13389976344361e-05
"temperatura_interior_2";NA;NA;0,979297516623842;0,920440986266176;0,945901204914055;0,910858527982573;0,848877643112205
"ocupantes_conteo_robus3_2";NA;NA;-0,0283115281084383;0,0140410065575184;-0,00173494919998281;-0,00273385233383015;-0,0137082383468414
"temperatura_exterior_2";NA;NA;0,00540448220228715;0,0240081611388202;0,00854764416017314;0,0147311339584192;0,0237813807045504
"energia_agua_refrigerada_2";NA;NA;-0,00764846010973353;-0,0546263292412502;-0,0673680791853492;-0,0615524606930378;-0,0743446624771446
"radiacion_global_fachada_2";NA;NA;-0,000347249361564241;-0,000312348704670007;-0,000332020611612741;-0,000417432730886239;-0,000168666229590379
"temperatura_interior_3";NA;NA;NA;0,0608124455706677;-0,246177468730868;-0,184269463927551;-0,149289029021558
"ocupantes_conteo_robus3_3";NA;NA;NA;-0,0389004230130589;-0,0103742731593429;-0,00966542245569819;-0,00847961584349359
"temperatura_exterior_3";NA;NA;NA;-0,0118521368522585;0,0329984535411961;0,00260531722127682;0,0137324945920243
"energia_agua_refrigerada_3";NA;NA;NA;0,100459996352094;0,0542601026973622;0,0600138703927621;0,0558424288073951
"radiacion_global_fachada_3";NA;NA;NA;-8,29171108208458e-05;0,00025890820511778;0,000313197139587651;0,000142444174190098
"temperatura_interior_4";NA;NA;NA;NA;0,292578149888586;0,0739285223144898;0,103500221425983
"ocupantes_conteo_robus3_4";NA;NA;NA;NA;-0,0223284634059088;-0,0214949670500081;-0,0186546818280475
"temperatura_exterior_4";NA;NA;NA;NA;-0,0324253554732127;0,0169223551352634;-0,0171118530009068
"energia_agua_refrigerada_4";NA;NA;NA;NA;0,116616092901063;0,144214649491076;0,157014017469943
"radiacion_global_fachada_4";NA;NA;NA;NA;-0,000558592740124256;0,000258091528858288;0,000195330213353204
"temperatura_interior_5";NA;NA;NA;NA;NA;0,198071911439266;-0,0281012356623372
"ocupantes_conteo_robus3_5";NA;NA;NA;NA;NA;0,0044002442487018;0,0148496140591035
"temperatura_exterior_5";NA;NA;NA;NA;NA;-0,0265697021481146;0,0248599793615759
"energia_agua_refrigerada_5";NA;NA;NA;NA;NA;-0,0247533515515897;0,104555640332747
"radiacion_global_fachada_5";NA;NA;NA;NA;NA;-0,00103333402260383;-0,000397226565751448
"temperatura_interior_6";NA;NA;NA;NA;NA;NA;0,227580911370069
"ocupantes_conteo_robus3_6";NA;NA;NA;NA;NA;NA;-0,0077331485458882
"temperatura_exterior_6";NA;NA;NA;NA;NA;NA;-0,0266740945932378
"energia_agua_refrigerada_6";NA;NA;NA;NA;NA;NA;-0,184557906235123
"radiacion_global_fachada_6";NA;NA;NA;NA;NA;NA;-0,000788561560734754
"R2";0,997030795299744;0,997309614066004;0,99987309242445;0,999877055375034;0,999885646855724;0,999892465401724;0,999900924517686
"MAE";1,22249929303985;1,17078563674648;0,213126945319958;0,21182325833633;0,207762565756118;0,203414158062362;0,19599030906955
"Media residuales";0,075793279747617;0,068096342630302;0,00176248595004975;0,00171341262940841;0,00139205203137567;0,00111129033497756;0,000879021588782229
"Desviación típica residuales";1,49246327784208;1,42095989109952;0,308986703106695;0,304144984232071;0,29333575067046;0,284462012197967;0,273046159461874
"Número de variables";4;7;12;17;22;27;32
"p-valor del parámetro menos significativo";0,250321677058397;0,97451690097262;0,965966409875167;0,889372963633473;0,867578348871953;0,935590526577694;0,996923119067477
