"";"Iteración 1";"Iteración 2";"Iteración 3";"Iteración 4";"Iteración 5";"Iteración 6";"Iteración 7"
"(Intercept)";0;0;0;0;0;0;0
"ocupantes_conteo_robus3";-0,112113190378493;-0,000850532761611639;-0,003107620326465;0,00308102404845308;0,00287676419910707;0,00486064328972911;-0,000658781307194635
"temperatura_exterior";1,01848872037866;0,00615582624959899;0,0077377384977747;0,000701044960097487;-0,00214678865978492;-0,00778472681489975;-0,00729900268809308
"energia_agua_refrigerada";NA;NA;NA;NA;NA;NA;NA
"radiacion_global_fachada";-0,0122454059104298;0,000309458461084433;5,82038088417127e-05;-2,70995778227206e-05;-4,19962894187287e-05;-5,79866749229997e-05;-0,000122679582124325
"temperatura_interior_1";NA;0,991458268440185;1,10776402499199;1,11945555203935;1,10462087233782;1,08055586009076;1,04745170669706
"ocupantes_conteo_robus3_1";NA;-0,00983816497273716;0,00947368136214532;-0,00358102881345922;-0,00458558120749184;-0,00688621664639992;0,0040768188193704
"temperatura_exterior_1";NA;0,00373433049613605;0,00172535610053567;-0,00231020425654729;0,00185680281166757;0,00517148120341961;-0,0029012528353347
"energia_agua_refrigerada_1";NA;-0,0190925416005394;-0,012513700229065;-0,0297254535602617;-0,0244675359702932;-0,0210438585836916;-0,0161426621960424
"radiacion_global_fachada_1";NA;-0,000318419367761718;-0,000123568844134102;1,40053031867893e-05;5,70039534770804e-06;3,90727911793768e-05;-1,00712390577994e-05
"temperatura_interior_2";NA;NA;-0,120461285367284;-0,317580541176876;-0,292142600054856;-0,282789196242354;-0,283861060528281
"ocupantes_conteo_robus3_2";NA;NA;-0,0177018433136552;0,00456964347794386;0,00476596760362915;0,0039225875488867;-0,0044988862360983
"temperatura_exterior_2";NA;NA;0,00493569457252191;0,0309014501647943;0,0166968253431566;0,0194016865630089;0,0232676749600691
"energia_agua_refrigerada_2";NA;NA;0,00424671812627364;-0,0493078927533875;-0,0486850412868439;-0,0466115113349704;-0,0565104721533998
"radiacion_global_fachada_2";NA;NA;-0,000152944450549494;-0,000310057599303474;-0,000336472994690159;-0,000374550622482626;-0,000183579825337041
"temperatura_interior_3";NA;NA;NA;0,193023266138146;0,104856845374194;0,131331166323035;0,148414015082674
"ocupantes_conteo_robus3_3";NA;NA;NA;-0,0193432040791799;-0,0169374945046564;-0,015551681730577;-0,0136707976686274
"temperatura_exterior_3";NA;NA;NA;-0,0220763716161838;-0,00171416372650701;-0,0154857300045007;-0,00731962555481215
"energia_agua_refrigerada_3";NA;NA;NA;0,104976020224336;0,112161731058704;0,114487570108972;0,106498000894359
"radiacion_global_fachada_3";NA;NA;NA;6,39351103725673e-05;0,000580111736380614;0,000638216231931975;0,000539706231223106
"temperatura_interior_4";NA;NA;NA;NA;0,0793430290053301;-0,0425141681278987;-0,0340525172508481
"ocupantes_conteo_robus3_4";NA;NA;NA;NA;0,000366893973348884;-0,00257284025342298;-0,00174989046109992
"temperatura_exterior_4";NA;NA;NA;NA;-0,00928652280691806;0,0164670988234297;-0,00158965525468823
"energia_agua_refrigerada_4";NA;NA;NA;NA;0,00239064298910179;0,0260616466779332;0,0391241990646736
"radiacion_global_fachada_4";NA;NA;NA;NA;-0,00060719889140757;-0,000353193310015069;-0,000450403317352658
"temperatura_interior_5";NA;NA;NA;NA;NA;0,1135418518209;0,0101454979429983
"ocupantes_conteo_robus3_5";NA;NA;NA;NA;NA;0,00447037085424193;0,0168664763844265
"temperatura_exterior_5";NA;NA;NA;NA;NA;-0,0157854484140107;0,00776147428451481
"energia_agua_refrigerada_5";NA;NA;NA;NA;NA;-0,0316695392313295;0,071640249710058
"radiacion_global_fachada_5";NA;NA;NA;NA;NA;-0,000363587862127604;-3,27905559781522e-05
"temperatura_interior_6";NA;NA;NA;NA;NA;NA;0,112260592483468
"ocupantes_conteo_robus3_6";NA;NA;NA;NA;NA;NA;-0,0115991079087995
"temperatura_exterior_6";NA;NA;NA;NA;NA;NA;-0,00937045830658878
"energia_agua_refrigerada_6";NA;NA;NA;NA;NA;NA;-0,148381386492965
"radiacion_global_fachada_6";NA;NA;NA;NA;NA;NA;-0,000413661978319891
"R2";0,997027294507514;0,999942067553181;0,999943712984412;0,999947279747459;0,999949758533079;0,999950968584131;0,999954672942931
"MAE";1,22173960353977;0,140241716002209;0,137435814817937;0,135108661970132;0,132970033184734;0,132105112523208;0,128428482787218
"Media residuales";0,0758607319059466;0,000794088452395439;0,000855165340083725;0,000734799857769429;0,00057626647065093;0,000484202889394107;0,000370976868050667
"Desviación típica residuales";1,49334169260231;0,208752116805908;0,205780134104304;0,199167542990656;0,194435285528851;0,192083173551678;0,184685632738855
"Número de variables";3;8;13;18;23;28;33
"p-valor del parámetro menos significativo";8,36399679612734e-12;0,862937107148188;0,90676758908092;0,965598587099881;0,985844510527182;0,902772680885335;0,974061740648612
