"";"Iteración 1";"Iteración 2";"Iteración 3";"Iteración 4";"Iteración 5";"Iteración 6";"Iteración 7"
"(Intercept)";0;0;0;0;0;0;0
"ocupantes_conteo_robus3";-0,000698013154357524;0,004761118872546;0,0027554203776134;0,00294845107652213;-0,00333094346042165;-0,000933179765596944;-0,109701007704267
"temperatura_exterior";-0,00725580948847771;-0,00766893894088438;-0,00208487839389263;0,000768939390933279;0,00793416291797551;0,00628963843500996;1,01890468334386
"energia_agua_refrigerada";-0,00903494712094904;-0,024395060210423;-0,0315765908127235;-0,0300621106730903;-0,0345434826894453;-0,0282937258875157;-0,190441999431628
"radiacion_global_fachada";-0,000103249703634078;-4,55243406408366e-06;2,72638710503679e-05;3,94070812986365e-05;0,000129145979571619;0,000367038933102244;-0,0117794094938129
"temperatura_interior_1";1,04752455276347;1,08026636680397;1,1041846853092;1,11878598612195;1,10727919121237;0,991645102876067;NA
"ocupantes_conteo_robus3_1";0,00424793227050769;-0,00642330270728579;-0,00400934511151204;-0,00300926609849371;0,0101704692845177;-0,00971798685953478;NA
"temperatura_exterior_1";-0,00271793712295648;0,00554185206314448;0,00235772853813078;-0,00189160583963916;0,00156105535700167;0,00343621827493677;NA
"energia_agua_refrigerada_1";-0,011764202952216;-0,00878944211878995;-0,00827833790721868;-0,0140286382972391;0,00555576806192179;-0,00373408850675597;NA
"radiacion_global_fachada_1";-2,09260216472719e-05;6,50336779270774e-06;-3,46373983784482e-05;-2,52926092620817e-05;-0,000159747854321118;-0,000333429389276378;NA
"temperatura_interior_2";-0,283891263569363;-0,282635988592396;-0,292100597939909;-0,316696168726459;-0,119675174288972;NA;NA
"ocupantes_conteo_robus3_2";-0,00457337023270436;0,00368671628223872;0,00448189276449548;0,00430076708983549;-0,0182663380036834;NA;NA
"temperatura_exterior_2";0,0228263194445916;0,0182177205023616;0,0151374608623868;0,0293311999398662;0,0046417882393091;NA;NA
"energia_agua_refrigerada_2";-0,0559604092518182;-0,0450827627375007;-0,0469096535856642;-0,0477688989358186;0,00519437529902946;NA;NA
"radiacion_global_fachada_2";-0,000183799306006072;-0,000372493172699634;-0,000331539973632671;-0,000295614457924579;-0,000134212684569189;NA;NA
"temperatura_interior_3";0,148958216329892;0,13228444555199;0,106789703019812;0,192932718545256;NA;NA;NA
"ocupantes_conteo_robus3_3";-0,0136931165617091;-0,0155455602907779;-0,0168842463218745;-0,0196599238860734;NA;NA;NA
"temperatura_exterior_3";-0,00728619774742825;-0,0153888621695346;-0,00144451365959073;-0,0210747067594528;NA;NA;NA
"energia_agua_refrigerada_3";0,10624630242783;0,113591136863977;0,111099148650401;0,103453664749627;NA;NA;NA
"radiacion_global_fachada_3";0,000546923888258989;0,000660758541119094;0,000611754116192985;7,11757279079533e-05;NA;NA;NA
"temperatura_interior_4";-0,0341237182433045;-0,0413970263300983;0,0777120071618368;NA;NA;NA;NA
"ocupantes_conteo_robus3_4";-0,00177356189013949;-0,0026893954112806;-1,66528398990288e-05;NA;NA;NA;NA
"temperatura_exterior_4";-0,00134452996756866;0,017189662006137;-0,0084118700475974;NA;NA;NA;NA
"energia_agua_refrigerada_4";0,0388128692104136;0,0253144464884089;0,0020960597273281;NA;NA;NA;NA
"radiacion_global_fachada_4";-0,000452104370714627;-0,00035660738554331;-0,000628441489159365;NA;NA;NA;NA
"temperatura_interior_5";0,01113231047871;0,111445470637009;NA;NA;NA;NA;NA
"ocupantes_conteo_robus3_5";0,0168425028134157;0,00433389896153661;NA;NA;NA;NA;NA
"temperatura_exterior_5";0,00775765359570899;-0,0156981559786838;NA;NA;NA;NA;NA
"energia_agua_refrigerada_5";0,072080702611082;-0,0302315751059119;NA;NA;NA;NA;NA
"radiacion_global_fachada_5";-3,37908625755539e-05;-0,000377311710192282;NA;NA;NA;NA;NA
"temperatura_interior_6";0,110638078960244;NA;NA;NA;NA;NA;NA
"ocupantes_conteo_robus3_6";-0,0116143594624788;NA;NA;NA;NA;NA;NA
"temperatura_exterior_6";-0,00929328654691257;NA;NA;NA;NA;NA;NA
"energia_agua_refrigerada_6";-0,148095900931609;NA;NA;NA;NA;NA;NA
"radiacion_global_fachada_6";-0,000417640400630866;NA;NA;NA;NA;NA;NA
"R2";0,999954677912528;0,999951005883398;0,999949821843382;0,999947338224387;0,999943791393209;0,999942120866685;0,997030795299744
"MAE";0,128337327208071;0,131812724281911;0,132638322663903;0,134826184102164;0,137253192146888;0,140130280571327;1,22249929303985
"Media residuales";0,000372573069495975;0,000487039132756584;0,000579297921434326;0,000738000316462815;0,000858106937790904;0,000796114173618287;0,075793279747617
"Desviación típica residuales";0,184675504862302;0,192010091078449;0,194312730865546;0,199057041379627;0,205636741748252;0,20865603140351;1,49246327784208
"Número de variables";34;29;24;19;14;9;4
"p-valor del parámetro menos significativo";0,946433808133174;0,983899005699641;0,997205751795813;0,997205751795813;0,997205751795813;0,997205751795813;0,997205751795813
