"";"Interación 1";"Iteración 2";"Iteración 3";"Iteración 4";"Iteración 5";"Iteración 6";"Iteración 7";"Iteración 8"
"(Intercept)";2,73898789999257;2,83327591341513;2,91065528285535;2,90465722200704;2,85938649772758;2,89129569047847;2,94323150920164;2,90179487446184
"ocupantes_conteo_robus3";-0,000652578605069273;-0,000264374429499425;-0,000442109407448211;-0,000145914783569294;-6,09979789629403e-06;-7,36364224945177e-05;0,00014933465412114;0,000100167420818254
"temperatura_exterior";-0,00863298549176334;-0,00905198448215221;-0,00860351011233978;-0,00900431477734078;-0,00967405706103734;-0,0114315036345964;-0,00253438955508244;NA
"energia_agua_refrigerada";-0,0196070090812968;-0,0188920251137607;-0,0177239839764518;-0,0197000867217998;-0,0237572630462285;-0,024362226825921;-0,0254614086240651;-0,02564558099561
"radiacion_global_fachada";8,72527612887581e-05;0,000113900614005135;0,000128021846307935;0,000147798238035832;0,000194117112712075;0,000220444006184083;0,000150722778774514;0,000127111011495802
"temperatura_interior_1";1,0115652500942;1,01476154250891;1,0173287522248;1,01926016646272;1,01945642807954;1,01955948294202;1,02060909239795;1,02130332746308
"ocupantes_conteo_robus3_1";0,00416217031193116;0,00350957531046065;0,00381447916200976;0,00361406417825227;0,00368932680885143;0,00381206159468975;0,00375380475187973;0,00382928126289737
"temperatura_exterior_1";-0,00155785926607742;-0,000370832491211689;-0,00131929530961236;-0,00122491319301135;0,00398241642558827;0,0101577264711299;NA;NA
"energia_agua_refrigerada_1";-0,0114636364093155;-0,00930849321057761;-0,0101043688910141;-0,0112456719192218;-0,00742290469674927;-0,00742934531162247;-0,00817246446039985;-0,00835673987101995
"radiacion_global_fachada_1";-3,71839772902014e-05;-5,6556346271151e-05;-4,59578229113074e-05;-2,99231180834241e-05;-0,00013414917256975;-0,000182932748655115;-0,000161366735640564;-0,000177166090419408
"temperatura_interior_2";-0,287798567847219;-0,288219229140554;-0,290145053957023;-0,292613136257968;-0,293373577255088;-0,293305751238208;-0,293625977328766;-0,293406101635573
"ocupantes_conteo_robus3_2";-0,00390753206999243;-0,0035154782572889;-0,00306991590470142;-0,00278706651794242;-0,00307950175568976;-0,00302836665511676;-0,00322447793734086;-0,00325612839929729
"temperatura_exterior_2";0,0199186198380543;0,0183912633953446;0,01766282539554;0,0207181031770142;0,00530025608113612;NA;NA;NA
"energia_agua_refrigerada_2";-0,0584141242503298;-0,0598902521168257;-0,0635844437619928;-0,0617744274281141;-0,062213458290408;-0,0625297807422929;-0,0627664524151513;-0,0629061132357048
"radiacion_global_fachada_2";-0,000153789717565259;-0,000133697855221701;-8,52646968381704e-05;-0,000151021653750631;-2,63379558515562e-05;-2,07414350504637e-05;3,95391023353607e-05;3,71731641944507e-05
"temperatura_interior_3";0,136300053007062;0,134746997090081;0,13306174948555;0,133602618224739;0,134109223973656;0,134282891340404;0,133665528512384;0,133776164392554
"ocupantes_conteo_robus3_3";-0,0138412703397491;-0,0132407305969205;-0,0133376477023531;-0,0137038804070072;-0,0138389164221885;-0,0139915505166311;-0,0138933596006685;-0,0138740092255528
"temperatura_exterior_3";-0,00820437139520345;-0,00917724675181781;-0,0027909082293358;-0,0128394251670815;NA;NA;NA;NA
"energia_agua_refrigerada_3";0,0996421876794393;0,0955821067251288;0,0970914364698064;0,0969114512752325;0,0975892900598716;0,0976174870606594;0,0964341061215929;0,0959392812348
"radiacion_global_fachada_3";0,000589844140526126;0,000649959112358051;0,000597374091520822;0,00069469004421829;0,000687946338207324;0,000719127737144752;0,000725581423851341;0,000725080114455405
"temperatura_interior_4";-0,0411565182292503;-0,0439112076617767;-0,0441913655610782;-0,0443626058257823;-0,045044295427849;-0,0452112685389542;-0,0446066493939249;-0,044479142192253
"ocupantes_conteo_robus3_4";-0,00238658736263436;-0,00242444628618036;-0,00265202289533276;-0,00269673258249288;-0,00235107008856194;-0,00235903198181366;-0,00225515401474991;-0,00219635870714025
"temperatura_exterior_4";-0,00201645914486499;0,00539856821297899;-0,00842179129715384;NA;NA;NA;NA;NA
"energia_agua_refrigerada_4";0,0335803376442824;0,0346199270564981;0,0363385503005657;0,0371493964468977;0,0368332091580361;0,0360534596108641;0,0358596571219607;0,0352764074756016
"radiacion_global_fachada_4";-0,000365811297344258;-0,000410652318304455;-0,000512177297248889;-0,000569217343579482;-0,00065365206345528;-0,000647654187958523;-0,000644568298817586;-0,000650053650886121
"temperatura_interior_5";0,00956727904825657;0,0100391462315664;0,00990832119145975;0,00983656563681276;0,0102545360496803;0,0105938354317876;0,00693116958130701;0,00679588225922654
"ocupantes_conteo_robus3_5";0,0159613385962112;0,0155757509777892;0,0148092837488329;0,0148521644164502;0,0147866499613911;0,0149112397047253;0,0149582796310546;0,0150207994365363
"temperatura_exterior_5";0,00582148910373113;-0,00921909357373721;NA;NA;NA;NA;NA;NA
"energia_agua_refrigerada_5";0,0695364820633204;0,0711470859031026;0,0629039642318211;0,0599810079619386;0,060851359674147;0,060697359675494;0,0624203972500234;0,0621472845220271
"radiacion_global_fachada_5";-7,46853705908692e-06;-0,000172261234803101;NA;NA;NA;NA;NA;NA
"temperatura_interior_6";0,0781212127988717;0,0753778385798139;0,0734103438850504;0,0727489997220749;0,0728136398795541;0,0719755540857806;0,0742430782967052;0,0722778914513319
"ocupantes_conteo_robus3_6";-0,0112099326190591;-0,012085458687383;-0,0120714149878926;-0,0122120562610093;-0,0125050743329915;-0,0124482627988338;-0,0125071520551124;-0,0126224047903435
"temperatura_exterior_6";-0,00963431053566391;NA;NA;NA;NA;NA;NA;NA
"energia_agua_refrigerada_6";-0,150133488033689;-0,163410817910948;-0,167320044110643;-0,167254442116619;-0,168537685406964;-0,167217274784556;-0,165406089903082;-0,165613447996924
"radiacion_global_fachada_6";-0,000243405264733295;NA;NA;NA;NA;NA;NA;NA
"R2";0,830377916928286;0,829859910728921;0,829498694753809;0,829357653212661;0,829049044509915;0,828995481176287;0,828774332599506;0,828719015346774
"MAE";0,12761590481591;0,127846188072994;0,12764676066978;0,127739588024238;0,127675466829507;0,127893268764238;0,128229282176944;0,128061788632221
"Media residuales";-1,67679247261995e-17;5,92688313946914e-18;-6,52003611148998e-19;1,16276205824921e-17;1,39744463675668e-17;2,04314269263691e-17;2,64041708496967e-17;1,52264336664328e-17
"Desviación típica residuales";0,181889515780077;0,182167038819928;0,182360311189821;0,182435721352851;0,182600615413392;0,182629219908874;0,18274727276194;0,182776790126022
"Número de variables";35;33;31;30;29;28;27;26
