;Iteración 1;Iteración 2;Iteración 3;Iteración 4;Iteración 5;Iteración 6;Iteración 7
(Intercept);0;0;0;0;0;0;0
temperatura_exterior;1,026758865;0,014968363;0,012251737;0,011913691;-0,011747946;-0,023351498;-0,042852861
radiacion_global_fachada;0,036785684;-0,005862148;-0,005631687;-0,007107203;-0,007008741;-0,006358089;-0,004481629
energia_agua_refrigerada;20,9820964;-1,697303279;-1,721737409;-0,629140704;0,809311026;0,974874394;1,884692728
ocupantes_conteo_robus3;-0,229117307;0,048273127;0,050417008;0,048447638;0,049636658;0,037365165;0,002943227
temperatura_interior_1;NA;0,990072708;1,040566704;1,049352688;1,024287761;0,984361505;0,958649645
temperatura_exterior_1;NA;-0,001778088;0,02252935;0,002489261;0,023325007;0,026665405;0,053953911
radiacion_global_fachada_1;NA;0,547554098;0,63491783;0,559829341;-0,198684084;-0,263180285;-0,394895139
energia_agua_refrigerada_1;NA;2,432515006;2,118148569;1,126991223;-0,885859499;-1,928672955;-2,094626545
ocupantes_conteo_robus3_1;NA;-0,069614998;-0,075785971;-0,078581006;-0,086286477;-0,075599954;-0,039096514
temperatura_interior_2;NA;NA;-0,052627726;-0,310450222;-0,275129376;-0,279945156;-0,29737245
temperatura_exterior_2;NA;NA;-0,019524844;0,010145912;-0,021015076;-0,010437408;-0,044777373
radiacion_global_fachada_2;NA;NA;-0,00166601;0,000730037;-0,000164406;0,00212388;-0,000890609
energia_agua_refrigerada_2;NA;NA;0,314658571;0,153954183;0,432388171;1,149926595;0,515993418
ocupantes_conteo_robus3_2;NA;NA;0,005575855;0,020446708;0,024821151;0,016706719;0,014169544
temperatura_interior_3;NA;NA;NA;0,261197443;0,131942201;0,176265573;0,185315773
temperatura_exterior_3;NA;NA;NA;-0,020578209;0,034690323;0,005525354;0,039499247
radiacion_global_fachada_3;NA;NA;NA;-5,98E-05;0,000254946;0,000282913;0,0009283
energia_agua_refrigerada_3;NA;NA;NA;0,041257054;0,012809086;-0,028811892;-0,020821269
ocupantes_conteo_robus3_3;NA;NA;NA;-0,017756415;-0,03532644;-0,036661718;-0,026923166
temperatura_interior_4;NA;NA;NA;NA;0,134547392;-0,030452094;-0,017377211
temperatura_exterior_4;NA;NA;NA;NA;-0,03689722;0,012325085;-0,022779338
radiacion_global_fachada_4;NA;NA;NA;NA;-0,000247921;-3,28E-05;-0,000586859
energia_agua_refrigerada_4;NA;NA;NA;NA;0,018091342;-0,009222077;0,020262243
ocupantes_conteo_robus3_4;NA;NA;NA;NA;0,016783007;0,009667358;0,011284093
temperatura_interior_5;NA;NA;NA;NA;NA;0,178919522;0,076077288
temperatura_exterior_5;NA;NA;NA;NA;NA;-0,035604338;0,012221098
radiacion_global_fachada_5;NA;NA;NA;NA;NA;-0,00013684;0,000621311
energia_agua_refrigerada_5;NA;NA;NA;NA;NA;0,052501502;0,242948095
ocupantes_conteo_robus3_5;NA;NA;NA;NA;NA;0,007033005;0,010745626
temperatura_interior_6;NA;NA;NA;NA;NA;NA;0,125359084
temperatura_exterior_6;NA;NA;NA;NA;NA;NA;-0,020741375
radiacion_global_fachada_6;NA;NA;NA;NA;NA;NA;-0,000500469
energia_agua_refrigerada_6;NA;NA;NA;NA;NA;NA;-0,293743282
ocupantes_conteo_robus3_6;NA;NA;NA;NA;NA;NA;-0,011400223
R2;0,997963359;0,999920194;0,999920551;0,999925358;0,999930135;0,999932703;0,999942445
MAE;1,027408149;0,16526397;0,165135758;0,162079447;0,15886629;0,156665379;0,14263573
Variaci�n MAE;;83,91%;0,08%;1,85%;1,98%;1,39%;8,96%
Media residuales;0,04606237;0,000943156;0,001004568;0,000792127;0,000564908;0,000400181;0,00016728
Desviación típica residuales;1,232113037;0,244103526;0,243591727;0,236142973;0,228475521;0,224244254;0,20737993
Número de variables;4;9;14;19;24;29;34
p-valor del parámetro menos significativo;0,020653773;0,94790598;0,867040446;0,975987898;0,991929057;0,980144272;0,954261112
