"";"Iteración 1";"Iteración 2";"Iteración 3";"Iteración 4";"Iteración 5";"Iteración 6";"Iteración 7"
"(Intercept)";0;0;0;0;0;0;0
"temperatura_exterior";-0,0428528609064349;-0,0233514983381641;-0,0117479461601764;0,0119136905698866;0,0122517372901153;0,0149683625560795;1,0267588651095
"radiacion_global_fachada";-0,00448162866821994;-0,00635808897082455;-0,00700874122070898;-0,00710720305875857;-0,00563168709498972;-0,00586214751279989;0,0367856841352089
"energia_agua_refrigerada";1,88469272811587;0,974874394103653;0,809311025748128;-0,629140703958674;-1,72173740895546;-1,69730327917247;20,9820963987546
"ocupantes_conteo_robus3";0,00294322708798766;0,0373651653644431;0,0496366580946646;0,0484476376072259;0,050417007706001;0,0482731274947569;-0,229117307347676
"temperatura_interior_1";0,95864964508819;0,984361504820446;1,02428776145166;1,04935268823961;1,04056670393317;0,990072707722248;NA
"temperatura_exterior_1";0,0539539107050544;0,0266654046571121;0,0233250068083266;0,0024892612095813;0,022529350213492;-0,00177808837787313;NA
"radiacion_global_fachada_1";-0,394895139336803;-0,263180284819366;-0,198684084351241;0,559829341388482;0,63491782970089;0,547554098079669;NA
"energia_agua_refrigerada_1";-2,09462654497655;-1,92867295467205;-0,885859499156281;1,12699122282282;2,11814856852742;2,43251500552176;NA
"ocupantes_conteo_robus3_1";-0,0390965137244065;-0,0755999540492821;-0,0862864770347585;-0,0785810057628103;-0,0757859708911097;-0,0696149982955173;NA
"temperatura_interior_2";-0,297372450051863;-0,279945155841729;-0,275129375556227;-0,310450222295631;-0,0526277259437186;NA;NA
"temperatura_exterior_2";-0,0447773733161737;-0,0104374080486272;-0,0210150761130183;0,0101459120866391;-0,0195248439414276;NA;NA
"radiacion_global_fachada_2";-0,000890608814851247;0,00212388025151915;-0,000164405609199731;0,000730037479691093;-0,0016660102672102;NA;NA
"energia_agua_refrigerada_2";0,515993417963851;1,14992659500665;0,432388170948205;0,15395418287287;0,314658571461414;NA;NA
"ocupantes_conteo_robus3_2";0,0141695435459509;0,0167067193720049;0,0248211509364877;0,0204467078320762;0,00557585483199307;NA;NA
"temperatura_interior_3";0,185315773115515;0,176265573000853;0,131942200965841;0,261197442975526;NA;NA;NA
"temperatura_exterior_3";0,0394992474432661;0,00552535412276087;0,0346903233983756;-0,020578209364742;NA;NA;NA
"radiacion_global_fachada_3";0,000928299776213831;0,00028291311916931;0,000254945788747977;-5,98450566457478e-05;NA;NA;NA
"energia_agua_refrigerada_3";-0,0208212692281392;-0,0288118917314304;0,0128090862343606;0,0412570539786834;NA;NA;NA
"ocupantes_conteo_robus3_3";-0,0269231655241288;-0,036661718026281;-0,0353264396799313;-0,0177564151557817;NA;NA;NA
"temperatura_interior_4";-0,0173772111597876;-0,0304520935688659;0,134547392389234;NA;NA;NA;NA
"temperatura_exterior_4";-0,0227793379471571;0,0123250848040869;-0,0368972204785;NA;NA;NA;NA
"radiacion_global_fachada_4";-0,000586859107986514;-3,2787504967671e-05;-0,000247920696364759;NA;NA;NA;NA
"energia_agua_refrigerada_4";0,0202622434289234;-0,00922207708383006;0,0180913423543303;NA;NA;NA;NA
"ocupantes_conteo_robus3_4";0,0112840929395678;0,00966735754431783;0,0167830071039265;NA;NA;NA;NA
"temperatura_interior_5";0,0760772876380403;0,178919522103004;NA;NA;NA;NA;NA
"temperatura_exterior_5";0,0122210980131986;-0,0356043384017835;NA;NA;NA;NA;NA
"radiacion_global_fachada_5";0,000621310545356901;-0,00013683969270196;NA;NA;NA;NA;NA
"energia_agua_refrigerada_5";0,242948094937852;0,0525015018287542;NA;NA;NA;NA;NA
"ocupantes_conteo_robus3_5";0,0107456255896474;0,00703300510176963;NA;NA;NA;NA;NA
"temperatura_interior_6";0,125359084123045;NA;NA;NA;NA;NA;NA
"temperatura_exterior_6";-0,0207413745557979;NA;NA;NA;NA;NA;NA
"radiacion_global_fachada_6";-0,00050046922123346;NA;NA;NA;NA;NA;NA
"energia_agua_refrigerada_6";-0,293743282043936;NA;NA;NA;NA;NA;NA
"ocupantes_conteo_robus3_6";-0,0114002230083305;NA;NA;NA;NA;NA;NA
"R2";0,999942445137177;0,999932703262286;0,999930134970686;0,999925357791478;0,999920551237005;0,999920194012073;0,997963359126322
"MAE";0,142635729771738;0,156665378659108;0,158866289534682;0,162079447292159;0,165135758469074;0,165263970004869;1,02740814868989
"Media residuales";0,000167280046766346;0,000400181476666752;0,000564907841799036;0,000792127160838487;0,00100456798100642;0,000943156338658977;0,0460623703109121
"Desviación típica residuales";0,207379929910095;0,224244254090928;0,228475520791487;0,236142972638904;0,243591727108255;0,244103525762704;1,23211303711994
"Número de variables";34;29;24;19;14;9;4
"p-valor del parámetro menos significativo";0,954261111959289;0,980144271824638;0,991929056506499;0,991929056506499;0,991929056506499;0,991929056506499;0,991929056506499
