"";"Iteración 1";"Iteración 2";"Iteración 3";"Iteración 4";"Iteración 5";"Iteración 6";"Iteración 7";"Iteración 8"
"(Intercept)";0;0;0;0;0;0;0;0
"temperatura_exterior";-0,0428528609064349;-0,0396706815861377;-0,0400432602423851;-0,0370142181536624;-0,0387892468431121;-0,0244971654658128;-0,0213310651560877;-0,0216302140011432
"radiacion_global_fachada";-0,00448162866821994;-0,00426285176874156;-0,00431595567488443;-0,00454266164216258;-0,00420432634874871;-0,00408651660812737;-0,00408498831866046;NA
"energia_agua_refrigerada";1,88469272811587;1,59818142883608;1,79943185140286;1,98556440546889;1,79494983398872;1,80937745520027;1,69061299301766;3,4578988160942
"ocupantes_conteo_robus3";0,00294322708798766;0,00562176319607101;0,00628585442784819;0,00228106219207901;0,000666567001616923;0,00330240343420022;0,0038194108695381;0,00210762169135342
"temperatura_interior_1";0,95864964508819;0,962223218204876;0,965213695714156;0,959126843685714;0,962074592533659;0,964321224361481;0,964388789524991;0,962620071724366
"temperatura_exterior_1";0,0539539107050544;0,0504465841382482;0,0547448425506097;0,0433095715960345;0,0477759853196327;0,00134701376177956;NA;NA
"radiacion_global_fachada_1";-0,394895139336803;-0,330326080160267;-0,301772536838394;-0,276178254315214;-0,272668964672386;-0,293887751400544;NA;NA
"energia_agua_refrigerada_1";-2,09462654497655;-1,54594768699815;-1,33952322422853;-0,990042849833533;-1,17602044432276;-1,09909909648441;-1,0035253882172;-2,5600550437709
"ocupantes_conteo_robus3_1";-0,0390965137244065;-0,0438192693567024;-0,0458566358136981;-0,0374363874504747;-0,0339589524552763;-0,0368176631061735;-0,0374729803582639;-0,0360520885062769
"temperatura_interior_2";-0,297372450051863;-0,300358270157928;-0,300706694416562;-0,29565227647307;-0,286122083321302;-0,286599155920642;-0,28644772524964;-0,288376878100103
"temperatura_exterior_2";-0,0447773733161737;-0,0390107405220895;-0,0521711207249455;-0,0286037156898788;-0,0345154537075878;NA;NA;NA
"radiacion_global_fachada_2";-0,000890608814851247;0,00361987978180649;0,00294598529063367;0,00251399999247233;0,00466020138569855;NA;NA;NA
"energia_agua_refrigerada_2";0,515993417963851;0,145847100238017;-0,175728179293108;-0,474790740309365;-0,194633073183299;-0,222871426381828;-0,165633408956405;-0,149455540655043
"ocupantes_conteo_robus3_2";0,0141695435459509;0,0180739567855844;0,0200274668375497;0,0151754801659489;-0,00222118909833726;NA;NA;NA
"temperatura_interior_3";0,185315773115515;0,194121811277486;0,194934319793385;0,182935092036222;0,175784714843546;0,175961843122499;0,175144358057993;0,166925469241504
"temperatura_exterior_3";0,0394992474432661;0,0219307251573907;0,040577286504856;-0,00298277550703569;NA;NA;NA;NA
"radiacion_global_fachada_3";0,000928299776213831;0,000507017344832511;0,000468166768161217;0,000404456101745317;NA;NA;NA;NA
