"";"Interación 1";"Iteración 2";"Iteración 3";"Iteración 4";"Iteración 5";"Iteración 6";"Iteración 7";"Iteración 8"
"(Intercept)";1,42286528335137;1,8529579803725;1,8620602422241;1,99124842101289;1,94881203951859;1,96214451275863;1,90573089366248;1,90573089366248
"temperatura_exterior";-0,0468345087178901;-0,0472529003264657;-0,0471285989643195;-0,0447051500555982;-0,0437979995663715;-0,0295291407647169;-0,02102645699089;-0,02102645699089
"radiacion_global_fachada";-0,00405836617226391;-0,00538720596222566;-0,00533655984901661;-0,0056328664802028;-0,00533179816193634;-0,00524306368609336;-0,00531164726762959;-0,00531164726762959
"energia_agua_refrigerada";1,6021973655662;0,633853444570999;0,786376872283475;0,931157645315226;0,749318342584107;0,761050838461562;0,644140344901768;0,644140344901768
"ocupantes_conteo_robus3";0,00381948894096725;0,00925810364634715;0,00934388526853093;0,00613927791932845;0,00450282973342;0,00693853395521036;0,0074573422047493;0,0074573422047493
"temperatura_interior_1";0,946153194204118;0,95640497042482;0,958077306573922;0,951223376572697;0,953397362333013;0,954868497854291;0,955255276829015;0,955255276829015
"temperatura_exterior_1";0,0556569871524353;0,062084706381985;0,063980892395153;0,0550610162514484;0,0528780411124503;0,00654272327051253;NA;NA
"radiacion_global_fachada_1";-0,416038192321786;-0,352370884806496;-0,330291692216847;-0,306647082763789;-0,305722033422087;-0,327231966162351;NA;NA
"energia_agua_refrigerada_1";-2,10778675571925;-0,98250414929906;-0,807535759547771;-0,436769314619632;-0,654074009986734;-0,594870291096047;-0,503093477946313;-0,503093477946313
"ocupantes_conteo_robus3_1";-0,039641948094742;-0,0461916532333447;-0,0474107106073611;-0,0389041460394855;-0,0354137837429208;-0,0370517560790697;-0,0379347544030139;-0,0379347544030139
"temperatura_interior_2";-0,298463429795895;-0,305595130966709;-0,304866101393509;-0,30057966326659;-0,290482332649076;-0,290575866371083;-0,290541921187779;-0,290541921187779
"temperatura_exterior_2";-0,0471639724685287;-0,0511493020320236;-0,0594845239835099;-0,0403262216857967;-0,0345308828659051;NA;NA;NA
"radiacion_global_fachada_2";-0,00288077990786821;0,00142725081965486;0,00176478326559615;0,00124172649143924;0,00485669322175086;NA;NA;NA
"energia_agua_refrigerada_2";0,590497681645078;0,149474230792076;-0,112474660103495;-0,421968857294689;-0,110731361472347;-0,118385974262209;-0,0526914407746215;-0,0526914407746215
"ocupantes_conteo_robus3_2";0,0137992813468249;0,0193139219259652;0,0208905725878078;0,0159292493456408;-0,00110287894642423;NA;NA;NA
"temperatura_interior_3";0,177929488146229;0,200957612931182;0,200374327817076;0,188312271558494;0,1809573885351;0,181131081804677;0,18030541319403;0,18030541319403
"temperatura_exterior_3";0,0390425601186422;0,0294436173431332;0,0414351341267151;0,00452236147960907;NA;NA;NA;NA
"radiacion_global_fachada_3";0,00104542471393039;0,00049542200962512;0,000412320585292001;0,000599869019112266;NA;NA;NA;NA
"energia_agua_refrigerada_3";-0,0258135666356108;0,00664149741833212;0,0179027549564894;0,0349956420462431;0,0109356267770037;0,0268256079234249;0,0226305085759647;0,0226305085759647
"ocupantes_conteo_robus3_3";-0,0268795441828883;-0,0334056998001639;-0,032878789842479;-0,0162903157859851;NA;NA;NA;NA
"temperatura_interior_4";-0,020507252010245;-0,0474350237948089;-0,0470330139890377;-0,0383732841436058;-0,0357992683255056;-0,0340465678257175;-0,0353192966367906;-0,0353192966367906
"temperatura_exterior_4";-0,0210847431414994;-0,00151390413873961;-0,0252822525317744;NA;NA;NA;NA;NA
"radiacion_global_fachada_4";-0,00056734824117417;-0,000436337454396807;-0,000101789238593477;NA;NA;NA;NA;NA
"energia_agua_refrigerada_4";0,0170217151295039;0,0153064849225828;0,0145306663125029;0,0245543254241063;0,0463353305214869;0,0442902734716232;0,044571837306493;0,044571837306493
"ocupantes_conteo_robus3_4";0,0116731714634049;0,0187293620205962;0,0167448039623124;NA;NA;NA;NA;NA
"temperatura_interior_5";0,0697976913057001;0,158785181836253;0,155681639146405;0,156186994625701;0,149938567415492;0,143571738073019;0,145327464005189;0,145327464005189
"temperatura_exterior_5";0,0111973329052923;-0,0184509985648586;NA;NA;NA;NA;NA;NA
"radiacion_global_fachada_5";0,000662548490700393;0,000226222274417632;NA;NA;NA;NA;NA;NA
"energia_agua_refrigerada_5";0,241345139732327;0,240654613603579;0,241012007941599;0,219612013545541;0,21849577622899;0,210862970457605;0,212235428198208;0,212235428198208
"ocupantes_conteo_robus3_5";0,0103800638601466;-0,00149926454214673;NA;NA;NA;NA;NA;NA
"temperatura_interior_6";0,106821895385261;NA;NA;NA;NA;NA;NA;NA
"temperatura_exterior_6";-0,0198264954378488;NA;NA;NA;NA;NA;NA;NA
"radiacion_global_fachada_6";-0,000413263775251903;NA;NA;NA;NA;NA;NA;NA
"energia_agua_refrigerada_6";-0,289646800615362;-0,329352704732728;-0,331613186091659;-0,332579998706478;-0,337439600817328;-0,336945411318287;-0,33474961728564;-0,33474961728564
"ocupantes_conteo_robus3_6";-0,011489915196272;NA;NA;NA;NA;NA;NA;NA
"R2";0,797893387786785;0,79492836887038;0,794598857925825;0,792649752894852;0,79166951111632;0,790823489036505;0,790226120746713;0,790226120746713
"MAE";0,142266762024862;0,142854967493981;0,142842886557384;0,142624659260172;0,142978615238485;0,142153505737953;0,142288162187726;0,142288162187726
"Media residuales";3,83145119402417e-19;-2,38674913660822e-17;6,12674872940852e-17;7,95067392734655e-18;-1,79611189760948e-17;-1,11424937660264e-18;-3,91522791125445e-17;-3,91522791125445e-17
"Desviación típica residuales";0,206804201743406;0,208315646102833;0,208482940655729;0,209469779601196;0,209964326702292;0,210390223269087;0,210690426301742;0,210690426301742
"Número de variables";35;31;28;25;22;19;17;17
