;Iteración 1;Iteración 2;Iteración 3
(Intercept);0;0;0
temperatura_exterior;1,020654723;-0,015491555;0,001996336
temperatura_interior_1;NA;1,003393154;1,08531209
temperatura_exterior_1;NA;0,013090855;NA
temperatura_interior_2;NA;NA;-0,086254068
temperatura_exterior_2;NA;NA;NA
temperatura_interior_3;NA;NA;NA
temperatura_exterior_3;NA;NA;NA
temperatura_interior_4;NA;NA;NA
temperatura_exterior_4;NA;NA;NA
temperatura_interior_5;NA;NA;NA
temperatura_exterior_5;NA;NA;NA
temperatura_interior_6;NA;NA;NA
temperatura_exterior_6;NA;NA;NA
R2;0,997691624;0,999913737;0,999914129
MAE;1,104390604;0,170818777;0,169346951
Media residuales;0,051743787;0,00108464;0,001161275
Desviación típica residuales;1,31163245;0,253786052;0,253245348
Número de variables;1;3;3
