"";"Iteración 1";"Iteración 2";"Iteración 3";"Iteración 4";"Iteración 5";"Iteración 6";"Iteración 7";"Iteración 8"
"(Intercept)";0;0;0;0;0;0;0;0
"temperatura_exterior";-0,0464867221590109;-0,0508055967610906;-0,0508055967610906;-0,0508055967610906;-0,0508055967610906;-0,0508055967610906;-0,0508055967610906;-0,0508055967610906
"temperatura_interior_1";1,03583102138397;1,04339951220436;1,04339951220436;1,04339951220436;1,04339951220436;1,04339951220436;1,04339951220436;1,04339951220436
"temperatura_exterior_1";0,0454843825786985;0,0585155682966697;0,0585155682966697;0,0585155682966697;0,0585155682966697;0,0585155682966697;0,0585155682966697;0,0585155682966697
"temperatura_interior_2";-0,300582368449716;-0,305362729360015;-0,305362729360015;-0,305362729360015;-0,305362729360015;-0,305362729360015;-0,305362729360015;-0,305362729360015
"temperatura_exterior_2";-0,0183200544527093;-0,0277597541490498;-0,0277597541490498;-0,0277597541490498;-0,0277597541490498;-0,0277597541490498;-0,0277597541490498;-0,0277597541490498
"temperatura_interior_3";0,183996511406323;0,19995258206612;0,19995258206612;0,19995258206612;0,19995258206612;0,19995258206612;0,19995258206612;0,19995258206612
"temperatura_exterior_3";0,0135279773384172;0,0178042588457215;0,0178042588457215;0,0178042588457215;0,0178042588457215;0,0178042588457215;0,0178042588457215;0,0178042588457215
"temperatura_interior_4";-0,021827947996226;-0,0497794010528994;-0,0497794010528994;-0,0497794010528994;-0,0497794010528994;-0,0497794010528994;-0,0497794010528994;-0,0497794010528994
"temperatura_exterior_4";-0,00134423136385325;-0,00158046428871425;-0,00158046428871425;-0,00158046428871425;-0,00158046428871425;-0,00158046428871425;-0,00158046428871425;-0,00158046428871425
"temperatura_interior_5";0,0509989114319186;0,143604326694813;0,143604326694813;0,143604326694813;0,143604326694813;0,143604326694813;0,143604326694813;0,143604326694813
"temperatura_exterior_5";0,0252597155446503;0,0245048921264827;0,0245048921264827;0,0245048921264827;0,0245048921264827;0,0245048921264827;0,0245048921264827;0,0245048921264827
"temperatura_interior_6";0,0880858808204297;NA;NA;NA;NA;NA;NA;NA
"temperatura_exterior_6";-0,0529291158122361;-0,0507238873685088;-0,0507238873685088;-0,0507238873685088;-0,0507238873685088;-0,0507238873685088;-0,0507238873685088;-0,0507238873685088
"R2";0,999926375379286;0,999925927108028;0,999925927108028;0,999925927108028;0,999925927108028;0,999925927108028;0,999925927108028;0,999925927108028
"MAE";0,166200796985036;0,165779844930351;0,165779844930351;0,165779844930351;0,165779844930351;0,165779844930351;0,165779844930351;0,165779844930351
"Media residuales";0,000431300309929413;0,00049076844931232;0,00049076844931232;0,00049076844931232;0,00049076844931232;0,00049076844931232;0,00049076844931232;0,00049076844931232
"Desviación típica residuales";0,234550656523114;0,235263501770609;0,235263501770609;0,235263501770609;0,235263501770609;0,235263501770609;0,235263501770609;0,235263501770609
"Número de variables";13;12;12;12;12;12;12;12
