;Iteración 1;Iteración 2;Iteración 3;Iteración 4;Iteración 5;Iteración 6;Iteración 7
(Intercept);28,76221741;4,505269228;5,194596113;4,813976612;4,067926676;3,620456806;3,044245495
temperatura_exterior;-0,055158576;-0,037966296;-0,039181203;-0,040909564;-0,045737288;-0,046257957;-0,05307394
temperatura_interior_1;NA;0,864487542;0,991766653;1,008945295;1,018566438;1,014097726;1,003204646
temperatura_exterior_1;NA;0,008713732;0,034946706;0,032325996;0,044596387;0,038972972;0,048941626
temperatura_interior_2;NA;NA;-0,156430519;-0,289788273;-0,286141412;-0,288925053;-0,302988947
temperatura_exterior_2;NA;NA;-0,021106231;-0,015232234;-0,035066804;-0,015344931;-0,030271542
temperatura_interior_3;NA;NA;NA;0,134933309;0,128748789;0,144692991;0,169383349
temperatura_exterior_3;NA;NA;NA;-0,006228824;0,020758486;-0,009447176;0,016649808
temperatura_interior_4;NA;NA;NA;NA;0,020889657;-0,030410716;-0,030991234
temperatura_exterior_4;NA;NA;NA;NA;-0,01518337;0,034335244;-0,000186709
temperatura_interior_5;NA;NA;NA;NA;NA;0,06161688;0,04816771
temperatura_exterior_5;NA;NA;NA;NA;NA;-0,035194287;0,029690061
temperatura_interior_6;NA;NA;NA;NA;NA;NA;0,040384407
temperatura_exterior_6;NA;NA;NA;NA;NA;NA;-0,049244086
R2;0,016593041;0,738941803;0,736264214;0,731506224;0,738230544;0,739884645;0,74623893
MAE;0,380536765;0,168610865;0,167096052;0,166623346;0,164102363;0,164305828;0,163964379
Media residuales;-9,44E-17;1,74E-18;-1,24E-17;-5,28E-19;9,98E-18;1,94E-17;1,54E-18
Desviaciones típicas residuales;0,481560795;0,243951668;0,24082831;0,238584345;0,23508824;0,234382448;0,231729645
Número de variables;2;4;6;8;10;12;14
p-valor parámetro menos significativo;0,003407552;0,743006411;0,45467607;0,831185825;0,670955929;0,856654102;0,996472892
