"";"Iteración 1";"Iteración 2";"Iteración 3";"Iteración 4";"Iteración 5"
"(Intercept)";28,7622174109583;4,50526922798364;5,21249856351175;4,85042265221709;4,15906193720032
"temperatura_exterior";-0,0551585756382686;-0,0379662963616717;-0,0248673515485816;-0,0298795009116134;-0,0305669570112518
"temperatura_interior_1";NA;0,864487541931046;0,99171241180787;1,00921063290937;1,01905425240312
"temperatura_exterior_1";NA;0,00871373247551795;NA;NA;NA
"temperatura_interior_2";NA;NA;-0,157564115698176;-0,290337527070898;-0,286982958853303
"temperatura_exterior_2";NA;NA;NA;NA;NA
"temperatura_interior_3";NA;NA;NA;0,133582466227157;0,130072070409863
"temperatura_exterior_3";NA;NA;NA;NA;NA
"temperatura_interior_4";NA;NA;NA;NA;0,0162993824605864
"temperatura_exterior_4";NA;NA;NA;NA;NA
"temperatura_interior_5";NA;NA;NA;NA;NA
"temperatura_exterior_5";NA;NA;NA;NA;NA
"temperatura_interior_6";NA;NA;NA;NA;NA
"temperatura_exterior_6";NA;NA;NA;NA;NA
"R2";0,0165930407181479;0,738941803466623;0,735939912081262;0,731035618240947;0,737583293516588
"MAE";0,380536765148188;0,168610864727651;0,166899546614963;0,166306158111621;0,163739642282598
"Media residuales";-9,4426588228035e-17;1,74460772426014e-18;1,77652349932438e-17;-4,05836910784483e-17;-6,78153142677486e-18
"Desviación típica residuales";0,481560794810721;0,243951668249487;0,240976331117786;0,238793343856995;0,235378700134666
"Número de variables";2;4;4;5;6
