"";"Iteración 1";"Iteración 2";"Iteración 3";"Iteración 4";"Iteración 5";"Iteración 6";"Iteración 7"
"(Intercept)";3,04424549503762;3,62045680645985;4,06792667635562;4,81397661216386;5,19459611307344;4,50526922798364;28,7622174109583
"temperatura_exterior";-0,0530739396348344;-0,0462579567192801;-0,0457372879505513;-0,0409095644868669;-0,0391812026541417;-0,0379662963616717;-0,0551585756382686
"temperatura_interior_1";1,00320464595745;1,01409772620447;1,01856643802993;1,00894529453984;0,991766653156206;0,864487541931046;NA
"temperatura_exterior_1";0,0489416258734776;0,0389729719215384;0,0445963868592634;0,0323259960750969;0,0349467056803466;0,00871373247551795;NA
"temperatura_interior_2";-0,302988947417333;-0,288925053124519;-0,286141412065346;-0,289788272515225;-0,156430519028545;NA;NA
"temperatura_exterior_2";-0,030271541713994;-0,0153449310493545;-0,0350668037691369;-0,0152322340456753;-0,021106231277902;NA;NA
"temperatura_interior_3";0,169383348956342;0,144692991365815;0,128748788695517;0,134933309161855;NA;NA;NA
"temperatura_exterior_3";0,0166498080835732;-0,00944717586758471;0,0207584855448821;-0,00622882408434959;NA;NA;NA
"temperatura_interior_4";-0,0309912335713904;-0,0304107158803414;0,0208896568249796;NA;NA;NA;NA
"temperatura_exterior_4";-0,000186709005940902;0,0343352443544723;-0,0151833696173919;NA;NA;NA;NA
"temperatura_interior_5";0,0481677101306261;0,0616168804383633;NA;NA;NA;NA;NA
"temperatura_exterior_5";0,0296900613754503;-0,0351942871308225;NA;NA;NA;NA;NA
"temperatura_interior_6";0,0403844073537898;NA;NA;NA;NA;NA;NA
"temperatura_exterior_6";-0,0492440863275986;NA;NA;NA;NA;NA;NA
"R2";0,746238929830633;0,739884644596745;0,738230543636605;0,731506224124221;0,736264213753778;0,738941803466623;0,0165930407181479
"MAE";0,16396437863114;0,164305828098755;0,164102363133948;0,16662334605574;0,167096051754892;0,168610864727651;0,380536765148188
"Media residuales";1,53817522175243e-18;1,94228275456048e-17;9,98428400505012e-18;-5,28151512392658e-19;-1,23684056418298e-17;1,74460772426014e-18;-9,4426588228035e-17
"Desviación típica residuales";0,23172964467635;0,234382447718371;0,235088240445527;0,238584344525078;0,240828309815161;0,243951668249487;0,481560794810721
"Número de variables";14;12;10;8;6;4;2
"p-valor del parámetro menos significativo";0,996472891572036;0,85665410161182;0,670955928528424;0,831185825347802;0,454676069994578;0,743006410582364;0,00340755216807754
